;titulo;data_lancamento;nota_media;numero_votos;popularidade;lingua_original;descricao
21;Quarteto Fantástico: Primeiros Passos;23/07/2025;5.435;23;142.134;en;"Com o vibrante cenário de um mundo retrô-futurista inspirado nos anos 1960, ""O Quarteto Fantástico: Primeiros Passos"" apresenta a Primeira Família da Marvel - Reed Richards/Senhor Fantástico, Sue Storm/Mulher Invisível, Johnny Storm/Tocha Humana e Ben Grimm/O Coisa enquanto eles enfrentam seu desafio mais assustador até agora. Forçados a equilibrar seus papéis como heróis com a força de seus laços familiares, eles devem defender a Terra de um deus espacial voraz chamado Galactus (Ralph Ineson) e seu enigmático Arauto, Surfista Prateado (Julia Garner). E se o plano de Galactus de devorar o planeta inteiro e todos nele não fosse ruim o suficiente, de repente fica muito pessoal."
22;The Cellar;08/09/2024;7.6;10;1.308.972;en;
23;Dora e a Busca pelo Sol Dourado;02/07/2025;6.9;68;1.094.722;en;Dora, agora com 16 anos, embarca em uma aventura pela selva amazônica com seus amigos para proteger o tesouro lendário conhecido como Sol Dorado. Para isso, eles precisam enfrentar perigos e inimigos que também buscam o poder do tesouro.
24;性教育ママ;20/11/1973;6.056;9;1.406.098;ja;
25;호텔 레이크;29/04/2020;6.6;22;1.065.977;ko;
26;Triplo X;09/08/2002;6.0;4474;1.327.552;en;"O ex-atleta de esportes extremos Xander ""XXX"" Cage, famoso por suas acrobacias que desafiam a morte, é convencido de que pode ter sucesso em ações que espiões convencionais falharam. Xander é recrutado pelo agente Gibbons para se tornar um tipo diferente de agente secreto. Agora, em uma perigosa missão, ele precisa usar todas as suas habilidades para combater um inimigo mortal."
27;Ne Zha;26/07/2019;7.945;568;1.121.671;zh;"O filme conta a história da queda do impiedoso imperador Di Xin, também conhecido como Zhou, da Dinastia Shang. Deuses e deusas, os Oito Imortais e espíritos fazem parte da mitologia chinesa usada na animação.  - Ne Zha é o primeiro recurso de animação 3D da China lançado em IMAX.  - Baseado no livro ""Investiture of the Gods"" [Fengshen Yanyi - Título original: 封神演義], escrito por Xu Zhonglin e Lu Xixing, publicado no século XVI, um dos maiores romances da Dinastia Ming.  - O filme que da sequência a história de Ne Zha é ""Legend of Deification""."
28;Faça Ela Voltar;28/05/2025;7.446;304;1.046.553;en;Um irmão e uma irmã descobrem um ritual aterrorizante na casa isolada de sua nova mãe adotiva.
29;室町無頼;17/01/2025;9.2;9;929.009;ja;
30;女高生トリオ 性感試験;23/02/1977;8.0;4;1.031.883;ja;
31;Meus 84 m²;17/07/2025;6.548;63;988.917;ko;Após gastar as economias de uma vida inteira em um apartamento, um homem descobre que suas paredes guardam ruídos perturbadores, vizinhos hostis e segredos inquietantes.
32;Missão: Impossível - O Acerto Final;17/05/2025;7.2;957;947.988;en;Depois de escapar de um acidente de trem calamitoso, Ethan percebe que a Entidade está escondida a bordo de um antigo submarino russo, mas um inimigo do seu passado chamado Gabriel também está no encalço.
33;Operação Vingança;09/04/2025;6.99;892;918.499;en;Depois que sua esposa é tragicamente morta em um ataque terrorista em Londres, um criptógrafo da CIA exige que seus chefes vão atrás dos assassinos. Quando fica claro que eles não agirão devido a prioridades internas conflitantes, ele chantageia a agência para treiná-lo e deixá-lo ir atrás deles sozinho.
34;Sneaks: De Pisante Novo;17/04/2025;6.1;20;814.669;en;Téo e Beca são um par de tênis de grife que vivem protegidos em sua caixa, até que Edson, um jovem humilde com o sonho de se tornar jogador de basquete, os ganha em um sorteio. Quando são roubados por um colecionador, o sonho de Edson é ameaçado e os tênis se separam. Determinado a reencontrar seu par, Téo se vê perdido nas ruas de Nova York, onde conhece Beto, um tênis de rua cheio de atitude. Juntos, embarcam em uma aventura repleta de surpresas, e Téo descobre que o mundo fora da caixa é muito maior e mais emocionante do que imaginava.
35;ZOMBIES 4: A Era dos Vampiros;10/07/2025;7.0;79;790.597;en;Neste novo capítulo da franquia Zombies, o zumbi Zed e a líder de torcida Addison, juntamente com Eliza e a lobisomem Willa, se deparam com Victor (Vampiro) e Nova (Caminhante do Dia), inimigos mortais de lados opostos do Monte Rayburn que precisam forjar a paz em suas comunidades para conseguir sobreviver.
36;Sangue Possuído;07/11/2024;4.15;10;891.249;en;Depois que uma jovem é encontrada morta em uma comunidade religiosa isolada nas montanhas, um grupo de adolescentes decide lutar contra os espíritos malignos que acreditam tê-la matado, abraçando sua própria natureza sombria.
37;Um Filme Minecraft;31/03/2025;6.446;2102;888.378;en;Quatro desajustados enfrentam problemas comuns do dia a dia quando, de repente, são sugados por um portal misterioso para o Overworld: uma terra fascinante e cúbica, movida pela imaginação. Para voltarem para casa, eles precisarão dominar esse novo mundo enquanto embarcam em uma jornada mágica ao lado de um crafter experiente e inesperado: Steve.
38;O Ritual;18/04/2025;6.0;110;783.186;en;Dois padres — um questionando sua fé e outro dono de um passado conturbado — devem colocar de lado suas diferenças para tentar salvar uma jovem usando o exorcismo.
39;In Vitro;27/03/2025;8.2;5;742.383;en;
40;Brick;09/07/2025;5.826;319;732.745;de;Após um misterioso muro cercar o prédio onde moram, Tim e Olivia precisam formar uma aliança com os vizinhos se quiserem escapar com vida.
41;Amores Materialistas;12/06/2025;6.903;124;812.169;en;O lucrativo negócio de uma casamenteira se complica quando ela se envolve em um triângulo amoroso tóxico que ameaça seus clientes.
42;ZOMBIES 4: A Era dos Vampiros;10/07/2025;7.0;79;790.597;en;Neste novo capítulo da franquia Zombies, o zumbi Zed e a líder de torcida Addison, juntamente com Eliza e a lobisomem Willa, se deparam com Victor (Vampiro) e Nova (Caminhante do Dia), inimigos mortais de lados opostos do Monte Rayburn que precisam forjar a paz em suas comunidades para conseguir sobreviver.
43;Pecadores;16/04/2025;7.6;2111;786.102;en;Dispostos a deixar suas vidas conturbadas para trás, irmãos gêmeos retornam à sua cidade natal para recomeçar suas vidas do zero, quando descobrem que um mal ainda maior está à espera deles para recebê-los de volta.
44;O Ritual;18/04/2025;6.0;110;783.186;en;Dois padres — um questionando sua fé e outro dono de um passado conturbado — devem colocar de lado suas diferenças para tentar salvar uma jovem usando o exorcismo.
45;Jogos de Sedução;18/07/2025;8.5;13;77.129;es;Neste thriller sexy, Sebastián, um trambiqueiro carismático que seduz mulheres para roubar seu dinheiro, pausa seus planos de aposentadoria após o súbito aparecimento de Carolina, uma mulher enigmática que o exporá ao maior perigo de sua profissão.
46;Eu Sei o Que Vocês Fizeram no Verão Passado;16/07/2025;6.0;81;767.437;en;Quando cinco amigos inadvertidamente causam um acidente de carro fatal, eles encobrem o envolvimento e fazem um pacto para manter o segredo em vez de arcar com as consequências. Um ano depois, o passado volta para assombrá-los e eles são forçados a confrontar uma verdade terrível: alguém sabe o que eles fizeram no verão passado... e está determinado a se vingar. À medida que os amigos são perseguidos, um a um, por um assassino, descobrem que isso já aconteceu antes e recorrem a dois sobreviventes do lendário Massacre de Southport, em 1997, em busca de ajuda.
47;లైలా;14/02/2025;5.8;5;746.776;te;
48;In Vitro;27/03/2025;8.2;5;742.383;en;
49;Brick;09/07/2025;5.8;320;732.745;de;Após um misterioso muro cercar o prédio onde moram, Tim e Olivia precisam formar uma aliança com os vizinhos se quiserem escapar com vida.
50;Long Distance;12/07/2024;6.342;168;729.737;en;A história acompanha um minerador de asteroides que, após um pouso forçado em um planeta alienígena, precisa atravessar um terreno acidentado, ficando sem oxigênio e sendo caçado por criaturas estranhas até encontrar o único sobrevivente.
